PLAYER_ID,PLAYER_NAME,POSITION,TEAM,AGE,GAMES,GAMES_STARTED,MIN_TOTAL,PTS,REB,AST,STL,BLK,TOV,PF,FG_PCT,FG3_PCT,FT_PCT,USAGE_RATE,DWS,OWS,WS,WS_48,PER,TS_PCT,BPM,OBPM,DBPM,PLUS_MINUS,WIN_PCT,NET_RATING
263,Mouhamed Gueye,PF,ATL,23,52,5,853,4.9,3.7,1,0.8,0.5,0.5,1.8,0.44,0.274,0.627,13.4,1.1,0.4,1.4,0.08,11.6,0.517,-2.5,-3.1,0.6,-2.1325,0.4625,-3.75
264,Drake Powell,SG,BRK,20,41,9,783,6.2,1.7,1.6,0.5,0.1,1,1.4,0.434,0.298,0.902,14.9,0.3,0.1,0.4,0.025,8.5,0.561,-5.1,-4.1,-1,-3.9933,0.4235,-7.6499999999999995
265,Jordan Walsh,PF,BOS,21,47,20,856,5.4,4.3,0.8,0.8,0.4,0.5,2.2,0.508,0.378,0.773,11.7,1.3,1.4,2.7,0.15,13.5,0.618,0,-1.4,1.3,0,0.5,0
266,Ryan Nembhard,PG,DAL,22,38,17,713,6.7,1.8,4.9,0.3,0,1.4,1.4,0.429,0.379,0.769,18,0.4,0,0.5,0.032,10.5,0.505,-4.3,-2.3,-2,-3.0658999999999996,0.4355,-6.449999999999999
267,Gary Payton II,SG,GSW,33,49,1,639,5.2,3.2,1.5,0.6,0.3,0.9,1.6,0.541,0.311,0.571,17,0.9,0.6,1.5,0.114,14.9,0.588,0.2,-1.2,1.4,0.1278,0.503,0.30000000000000004
268,Keon Ellis,SG,2TM,26,46,5,813,5.5,1.4,0.7,1.1,0.5,0.5,1.6,0.395,0.365,0.625,13.7,0.6,-0.1,0.5,0.028,9.3,0.534,-1.9,-3,1.1,-1.5446999999999997,0.47150000000000003,-2.8499999999999996
269,Al Horford,C,GSW,39,33,5,675,7.6,4.9,2.4,0.8,1.1,1,1.2,0.429,0.348,0.895,16.1,1.1,0.5,1.7,0.118,14.9,0.559,1.9,0.1,1.8,1.2825,0.5285,2.8499999999999996
270,Tristan Vukcevic,C,WAS,22,33,3,394,7.5,2.5,1.1,0.3,0.7,1.2,1.3,0.467,0.274,0.77,27,0.2,0.1,0.3,0.036,16.7,0.575,-1.6,-0.6,-1,-0.6304000000000001,0.476,-2.4000000000000004
271,Dean Wade,PF,CLE,29,43,22,980,5.8,4.1,1.6,0.8,0.4,0.3,1.6,0.417,0.34,0.75,9.9,1.1,1.1,2.2,0.109,10.4,0.564,-0.2,-1.3,1.2,-0.196,0.497,-0.30000000000000004
272,Isaiah Jackson,C,2TM,24,39,14,643,6.4,5.4,0.8,0.7,0.7,1.1,2.8,0.587,0,0.675,16.1,0.9,0.7,1.5,0.115,15.5,0.617,-2.5,-3,0.4,-1.6075,0.4625,-3.75
273,Goga Bitadze,C,ORL,26,42,1,672,5.9,5,1.2,0.7,1.2,0.5,2.1,0.687,0.2,0.731,12.2,1.2,2,3.1,0.223,20.4,0.711,3.4,0.9,2.4,2.2848,0.551,5.1
274,Gui Santos,PF,GSW,23,43,8,615,5.7,2.9,1.4,0.6,0.3,0.9,1.5,0.529,0.381,0.632,15.7,0.8,0.6,1.4,0.112,13.7,0.644,0.4,-0.8,1.2,0.246,0.506,0.6000000000000001
275,Jonathan Kuminga,PF,GSW,23,20,13,476,12.1,5.9,2.5,0.4,0.3,2.3,1.7,0.454,0.321,0.742,23.9,0.5,-0.2,0.3,0.032,12.5,0.543,-3.6,-2.5,-1.1,-1.7136,0.446,-5.4
276,Tyler Herro,SG,MIA,26,11,10,349,21.9,4.7,2.7,1,0.5,1.5,2,0.497,0.358,0.902,25,0.4,0.5,0.9,0.126,18,0.605,2.8,2.5,0.3,0.9771999999999998,0.542,4.199999999999999
277,Jaylin Williams,PF,OKC,23,39,8,748,6.2,4.9,2.5,0.6,0.6,1.1,2,0.368,0.324,0.768,15.6,1.6,0.2,1.8,0.117,11.8,0.527,0.9,-1.5,2.4,0.6732,0.5135,1.35
278,Bryce McGowens,SG,NOP,23,31,11,615,7.7,2,1.5,0.6,0.2,0.5,2,0.482,0.459,0.754,14.4,0.2,1,1.1,0.087,11.7,0.611,-3.1,-1.9,-1.2,-1.9065,0.4535,-4.65
279,Robert Williams,C,POR,28,37,1,608,6.5,6.5,1.1,0.6,1.4,0.8,1.2,0.754,0.438,0.731,12.1,1.1,1.7,2.8,0.222,22.9,0.782,5.6,3,2.6,3.4048,0.584,8.399999999999999
280,Tre Mann,PG,CHO,24,33,1,528,7.2,2.4,2.2,0.5,0.1,1.4,1.7,0.363,0.328,0.857,23.9,0.4,-0.6,-0.1,-0.012,8.5,0.468,-5,-3.6,-1.4,-2.64,0.425,-7.5
281,Pat Spencer,PG,GSW,29,38,7,578,6.3,2.3,3.1,0.7,0.1,1.1,1.1,0.44,0.413,0.781,19.3,0.6,0.5,1.1,0.093,13.8,0.538,0,-0.5,0.5,0,0.5,0
282,Cole Anthony,PG,MIL,25,35,0,527,6.7,2.5,3.5,0.6,0.3,1.9,2.1,0.424,0.306,0.615,25.8,0.5,-0.9,-0.4,-0.036,10.7,0.483,-4.7,-3.8,-0.8,-2.4769,0.4295,-7.050000000000001
283,Jaden Hardy,SG,DAL,23,34,4,428,6.9,1.4,0.9,0.3,0.1,0.8,1.1,0.402,0.371,0.775,23.4,0.3,-0.1,0.2,0.023,10.8,0.551,-3.7,-2,-1.7,-1.5836000000000001,0.4445,-5.550000000000001
284,Tyler Kolek,PG,NYK,24,47,1,627,4.9,1.9,2.9,0.4,0.1,1.1,1.3,0.426,0.365,0.667,18.5,0.6,0.2,0.9,0.066,11.3,0.516,-1.6,-1.6,0,-1.0032,0.476,-2.4000000000000004
285,Cody Williams,SG,UTA,21,40,15,771,5.8,2.3,0.9,0.6,0.4,0.6,1.8,0.478,0.234,0.613,12.9,0,0.1,0.1,0.004,8.1,0.526,-5.5,-3.6,-1.9,-4.2405,0.4175,-8.25
286,Craig Porter Jr.,PG,CLE,25,48,2,858,4.8,3.4,3.1,1,0.6,0.9,1.2,0.465,0.382,0.545,12.3,1.2,1.1,2.3,0.127,14.4,0.536,2.6,0.3,2.3,2.2308,0.539,3.9000000000000004
287,Kenrich Williams,PF,OKC,31,34,1,536,6.7,3.3,1.6,0.6,0.1,0.8,1.1,0.509,0.383,0.625,17.3,1,0.7,1.7,0.15,15,0.607,1.6,0.7,0.9,0.8576000000000001,0.524,2.4000000000000004
288,Alex Caruso,SG,OKC,31,35,0,652,6.4,2.7,2.1,1.4,0.4,0.8,1.3,0.434,0.313,0.781,15.3,1.4,0.5,1.9,0.14,13.9,0.554,2.8,-0.6,3.4,1.8256,0.542,4.199999999999999
289,Nicolas Batum,PF,LAC,37,51,4,992,4.4,2.6,0.8,0.7,0.4,0.7,1.5,0.397,0.394,0.818,10,0.8,0.2,1,0.049,7.8,0.593,-1.6,-2.1,0.5,-1.5872000000000002,0.476,-2.4000000000000004
290,Jarred Vanderbilt,PF,LAL,26,44,3,850,5.1,5,1.4,1,0.4,1,1.9,0.47,0.299,0.638,12.6,1,0.3,1.3,0.074,11.4,0.553,-1.7,-2.3,0.6,-1.4449999999999998,0.4745,-2.55
